species,amount_mol
H+,0.0012871221382842642
H2O,55.523930277079074
HCO3-,0.0010258526860598236
Cl-,0.7603778512834639
CO2,1.1633166059422988
CO3-2,2.1859596408362736e-10
HCl,0.00010770184366414174
Na+,0.7601165823752898
NaCO3-,6.395791894812247e-11
NaCl,0.04578045459576995
NaHCO3,0.00036897068555196425
NaOH,2.3286284842697865e-12
OH-,4.2900911797169115e-11
